-5.417	0.974352	0.920128	68
-5.52294	0.968461	0.915654	68
-7.96516	0.977383	0.889639	69
-19.7941	0.93827	0.764487	71
-40.6141	0.24849	0.149664	65
-40.0578	0.00525875	0.17667	61
-28.9107	0.00747133	0.131036	73
-27.7943	0.341755	0.121552	242
-30.1506	0.237277	0.178937	248
-40.6447	-0.0554747	0.214132	100
-37.0414	0.953052	0.214044	66
-11.5103	0.973778	0.662642	87
-5.60373	0.978236	0.845964	90
-5.78734	0.976944	0.868442	92
-6.9811	0.975128	0.836869	93
-9.56574	0.976083	0.829037	92
-17.5753	0.953097	0.745578	91
-33.8655	0.170696	0.146156	100
-24.0914	-0.258772	0.12343	83
-18.5146	-0.567296	0.166693	59
-17.7027	-0.714296	0.188611	43
-17.7542	-0.732753	0.155141	114
-16.5255	-0.740148	0.198461	195
-14.4529	-0.639493	0.18881	66
-18.4127	-0.490227	0.247603	69
-48.3036	0.0524116	0.229661	52
-35.7609	0.481654	0.289658	115
-20.3539	0.727439	0.464263	110
-9.21353	0.82047	0.518257	47
-5.15062	0.891668	0.597634	86
-12.3493	0.963862	0.822738	81
-12.837	0.995198	0.88799	83
-11.2916	0.99584	0.891437	85
-10.9343	0.99577	0.891137	86
-11.1386	0.994405	0.890476	85
-11.7707	0.987048	0.88603	83
-11.7173	0.953345	0.86743	82
-9.96933	0.955804	0.855932	80
-6.60835	0.968815	0.861505	79
-4.0725	0.973817	0.879307	79
-4.37647	0.977345	0.893502	80
-4.92695	0.976339	0.883883	81
-6.72882	0.972607	0.876684	81
-10.4472	0.967833	0.843498	81
-18.3944	0.90177	0.674376	82
-19.817	-0.379495	0.164791	46
-15.1165	-0.601507	0.176942	46
-13.117	-0.697591	0.156598	71
-12.3964	-0.722799	0.15465	87
-10.0781	-0.774047	0.203651	107
-8.6891	-0.787284	0.198766	174
-9.85146	-0.761017	0.222297	78
-9.62519	-0.726137	0.162898	99
-11.7227	-0.708359	0.202518	64
-19.4637	-0.316088	0.1229	114
-7.01931	0.967446	0.683422	69
-0.345672	0.96686	0.861949	72
-1.60817	0.948006	0.868399	75
-1.76294	0.955587	0.876141	77
-2.01032	0.95514	0.873935	79
-2.64423	0.958681	0.851659	82
-3.67841	0.967747	0.869475	85
-4.21251	0.974665	0.862824	88
-5.0433	0.968098	0.839547	92
-6.86113	0.964217	0.843658	93
-9.06666	0.970479	0.83472	94
-15.5737	0.94672	0.791879	95
-22.6456	0.867119	0.63734	90
-25.0683	0.680168	0.286857	94
-27.7625	0.599517	0.271757	80
-35.2207	0.502462	0.196201	98
-43.8018	0.180572	0.195045	283
-41.0099	0.166143	0.113014	107
-39.4356	0.195973	0.134951	149
-38.7507	0.0776485	0.219224	105
-34.1807	0.0539533	0.134528	57
-41.9866	0.0242544	0.124188	60
-43.6118	0.0272432	0.254307	51
-41.1251	0.000233566	0.195328	130
-45.4265	0	0.194095	197
-55.159	0	0.236656	153
-33.3218	0.182545	0.0173592	47
-52.8028	0.19074	0.00794656	43
